seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_expired_leases,cache1_multi_expired,cache1_default_renewals,cache1_default_misses,cache1_random_evicts,cache1_ID
1,64,SHEL,small,mvt,290196,5,0,376250,4,84245,2395,145,1956,1536,0,0,439,8
1,64,SHEL,small,nussinov,16076574,15,0,23082070,4,2843449,168764,2172,59287,45789,2,1,109477,8
1,64,SHEL,small,seidel-2d,9643209,8,0,11065825,4,2281206,31595,31283,31547,30283,1,0,48,8
1,64,SHEL,small,symm,2386248,7,0,3354822,4,848608,20194,10287,12561,5994,2,0,7633,8
1,64,SHEL,small,syr2k,3573954,6,0,6328167,4,1101444,71438,2399,15832,11474,2,0,55606,8
1,64,SHEL,small,syrk,2397877,4,0,2745987,4,774326,9756,603,4677,3155,2,0,5079,8
1,64,SHEL,small,trisolv,73319,4,0,89482,4,21452,448,8,448,448,4,0,0,8
1,64,SHEL,small,trmm,1488447,6,0,1844911,4,424480,9921,375,5109,2437,1,0,4812,8
1,64,PRL,small,2mm,3195740,8,0,3780786,4,892005,16397,461,14893,12614,2,2,1504,8
1,64,PRL,small,3mm,5483911,11,0,6539654,4,1598715,29585,643,29286,28844,0,0,299,8
1,64,PRL,small,adi,9656304,15,0,13851591,4,2604065,110347,72841,61700,49653,12,0,48647,8
1,64,PRL,small,atax,304227,7,0,334141,4,99987,825,29,825,825,93,7,0,8
1,64,PRL,small,bicg,246306,5,0,291583,4,114469,843,29,843,843,211,14,0,8
1,64,PRL,small,cholesky,2966629,8,0,3563590,4,861759,16701,619,16701,16701,240,7,0,8
1,64,PRL,small,correlation,3782328,16,0,11942720,4,805449,229358,4283,196881,129756,248,10,32477,8
1,64,PRL,small,covariance,3755750,10,0,11704439,4,798188,223694,4134,206187,157160,82,1,17507,8
1,64,PRL,small,deriche,2074963,19,0,6385616,4,286914,106318,49361,84911,65214,16,4,21407,8
1,64,PRL,small,doitgen,4775638,9,0,4809576,4,1394072,930,926,930,930,2,1,0,8
1,64,PRL,small,durbin,172786,22,0,174130,4,50013,15,0,0,0,143,2,0,8
1,64,PRL,small,fdtd-2d,8164867,8,0,10920778,4,2564997,73645,35612,65730,57532,2,0,7915,8
1,64,PRL,small,floyd-warshall,88098640,5,0,100454363,4,17508236,346472,320930,346150,340551,0,0,322,8
1,64,PRL,small,gemm,4104433,6,0,4638808,4,1337545,14857,381,14808,14616,2,1,49,8
1,64,PRL,small,gemver,537492,11,0,653255,4,170201,3201,967,2525,1756,122,9,676,8
1,64,PRL,small,gesummv,139151,4,0,181228,4,64235,927,17,927,927,92,0,0,8
1,64,PRL,small,gramschmidt,4839793,14,0,5618919,4,1328968,17432,15415,12104,5877,0,0,5328,8
1,64,PRL,small,heat-3d,13753576,11,0,16262990,4,3663033,69449,33063,66584,59768,2,0,2865,8
1,64,PRL,small,jacobi-1d,2173065,133,0,2206474,4,311677,3,0,0,0,44,1,0,8
1,64,PRL,small,jacobi-2d,12453890,9,0,15147486,4,3641756,75365,39621,70000,59109,1,0,5365,8
1,64,PRL,small,lu,5859951,6,0,7251000,4,1695909,39111,1000,31311,26671,119,52,7800,8
1,64,PRL,small,ludcmp,5455574,10,0,6884262,4,1162602,40138,1011,32701,26934,123,3,7437,8
1,64,PRL,small,mvt,290175,4,0,405138,4,83446,3194,127,3194,3194,0,0,0,8
1,64,PRL,small,nussinov,16076574,15,0,22677906,4,2854772,157441,1989,64302,51765,2,1,93139,8
1,64,PRL,small,seidel-2d,9643209,8,0,11059428,4,2281277,31524,31211,31524,31524,1,0,0,8
1,64,PRL,small,symm,2386248,7,0,3226609,4,852153,16649,8380,16182,7890,2,0,467,8
1,64,PRL,small,syr2k,3573954,6,0,6678359,4,1090915,81967,560,81056,79172,2,0,911,8
1,64,PRL,small,syrk,2397877,4,0,2666766,4,776547,7535,451,6185,5190,2,0,1350,8
1,64,PRL,small,trisolv,73319,4,0,89452,4,21452,448,8,448,448,4,0,0,8
1,64,PRL,small,trmm,1488447,6,0,1751732,4,427070,7331,344,7031,6034,1,0,300,8
