seed,rate,num_ways,cache_size,policy,dataset_Size,benchmark_name,predicted_misses
1,256,512,512,CLAM,small,jacobi-2d,42715
1,256,512,512,CLAM,small,jacobi-1d,602
1,256,512,512,CLAM,small,mvt,938
1,256,512,512,CLAM,small,heat-3d,32937
1,256,512,512,CLAM,small,trmm,1439
1,256,512,512,CLAM,small,covariance,1523
1,256,512,512,CLAM,small,correlation,1265
1,256,512,512,CLAM,small,trisolv,355
1,256,512,512,CLAM,small,ludcmp,1940
1,256,512,512,CLAM,small,bicg,608
1,256,512,512,CLAM,small,lu,1437
1,256,512,512,CLAM,small,seidel-2d,25028
1,256,512,512,CLAM,small,gesummv,1171
1,256,512,512,CLAM,small,floyd-warshall,321089
1,256,512,512,CLAM,small,doitgen,747
1,256,512,512,CLAM,medium,deriche,571390
1,256,512,512,CLAM,medium,fdtd-2d,1703184
1,256,512,512,CLAM,medium,syrk,313260
1,256,512,512,CLAM,medium,nussinov,1358035
1,256,512,512,CLAM,medium,durbin,66
1,256,512,512,CLAM,medium,2mm,840305
1,256,512,512,CLAM,medium,gramschmidt,382198
1,256,512,512,CLAM,medium,3mm,1321756
1,256,512,512,CLAM,medium,adi,1940000
1,256,512,512,CLAM,medium,symm,571153
1,256,512,512,CLAM,medium,syr2k,707208
1,256,512,512,CLAM,medium,cholesky,595375
1,256,512,512,CLAM,medium,atax,10491
1,256,512,512,CLAM,medium,gemver,29563
1,256,512,512,CLAM,medium,gemm,572159
1,256,512,512,CLAM,medium,jacobi-2d,1452849
1,256,512,512,CLAM,medium,jacobi-1d,1283
1,256,512,512,CLAM,medium,mvt,25384
1,256,512,512,CLAM,medium,heat-3d,1502034
1,256,512,512,CLAM,medium,trmm,271031
1,256,512,512,CLAM,medium,covariance,466703
1,256,512,512,CLAM,medium,correlation,476230
1,256,512,512,CLAM,medium,trisolv,4936
1,256,512,512,CLAM,medium,ludcmp,1296965
1,256,512,512,CLAM,medium,bicg,10868
1,256,512,512,CLAM,medium,lu,1292948
1,256,512,512,CLAM,medium,seidel-2d,1002732
1,256,512,512,CLAM,medium,gesummv,7323
1,256,512,512,CLAM,medium,floyd-warshall,7755087
1,256,512,512,CLAM,medium,doitgen,8751
1,512,512,512,CLAM,small,deriche,23169
1,512,512,512,CLAM,small,fdtd-2d,27621
1,512,512,512,CLAM,small,syrk,2006
1,512,512,512,CLAM,small,nussinov,40829
1,512,512,512,CLAM,small,durbin,37
1,512,512,512,CLAM,small,2mm,2542
1,512,512,512,CLAM,small,gramschmidt,2709
1,512,512,512,CLAM,small,3mm,4065
1,512,512,512,CLAM,small,adi,18126
1,512,512,512,CLAM,small,symm,987
1,512,512,512,CLAM,small,syr2k,6275
1,512,512,512,CLAM,small,cholesky,1096
1,512,512,512,CLAM,small,atax,600
1,512,512,512,CLAM,small,gemver,978
1,512,512,512,CLAM,small,gemm,2526
1,512,512,512,CLAM,small,jacobi-2d,43649
1,512,512,512,CLAM,small,jacobi-1d,1089
1,512,512,512,CLAM,small,mvt,586
1,512,512,512,CLAM,small,heat-3d,39077
1,512,512,512,CLAM,small,trmm,1586
1,512,512,512,CLAM,small,covariance,432
1,512,512,512,CLAM,small,correlation,2449
1,512,512,512,CLAM,small,trisolv,355
1,512,512,512,CLAM,small,ludcmp,2865
1,512,512,512,CLAM,small,bicg,647
1,512,512,512,CLAM,small,lu,2408
1,512,512,512,CLAM,small,seidel-2d,21984
1,512,512,512,CLAM,small,gesummv,1443
1,512,512,512,CLAM,small,floyd-warshall,315471
1,512,512,512,CLAM,small,doitgen,1321
1,512,512,512,CLAM,medium,deriche,554736
1,512,512,512,CLAM,medium,fdtd-2d,1750441
1,512,512,512,CLAM,medium,syrk,292465
1,512,512,512,CLAM,medium,nussinov,1344064
1,512,512,512,CLAM,medium,durbin,66
1,512,512,512,CLAM,medium,2mm,857371
1,512,512,512,CLAM,medium,gramschmidt,386108
1,512,512,512,CLAM,medium,3mm,1281111
1,512,512,512,CLAM,medium,adi,1955224
1,512,512,512,CLAM,medium,symm,586986
1,512,512,512,CLAM,medium,syr2k,739848
1,512,512,512,CLAM,medium,cholesky,594338
1,512,512,512,CLAM,medium,atax,12151
1,512,512,512,CLAM,medium,gemver,29971
1,512,512,512,CLAM,medium,gemm,570261
1,512,512,512,CLAM,medium,jacobi-2d,1452088
1,512,512,512,CLAM,medium,jacobi-1d,2030
1,512,512,512,CLAM,medium,mvt,22445
1,512,512,512,CLAM,medium,heat-3d,1484184
1,512,512,512,CLAM,medium,trmm,269470
1,512,512,512,CLAM,medium,covariance,470843
1,512,512,512,CLAM,medium,correlation,477122
1,512,512,512,CLAM,medium,trisolv,4673
1,512,512,512,CLAM,medium,ludcmp,1258300
1,512,512,512,CLAM,medium,bicg,12809
1,512,512,512,CLAM,medium,lu,1286461
1,512,512,512,CLAM,medium,seidel-2d,977706
1,512,512,512,CLAM,medium,gesummv,9377
1,512,512,512,CLAM,medium,floyd-warshall,7734553
1,512,512,512,CLAM,medium,doitgen,9732
1,1024,512,512,CLAM,small,deriche,24229
1,1024,512,512,CLAM,small,fdtd-2d,16956
1,1024,512,512,CLAM,small,syrk,3618
1,1024,512,512,CLAM,small,nussinov,39040
1,1024,512,512,CLAM,small,durbin,37
1,1024,512,512,CLAM,small,2mm,3958
1,1024,512,512,CLAM,small,gramschmidt,3756
1,1024,512,512,CLAM,small,3mm,4772
1,1024,512,512,CLAM,small,adi,23277
1,1024,512,512,CLAM,small,symm,1558
1,1024,512,512,CLAM,small,syr2k,4065
1,1024,512,512,CLAM,small,cholesky,1574
1,1024,512,512,CLAM,small,atax,217
1,1024,512,512,CLAM,small,gemver,931
1,1024,512,512,CLAM,small,gemm,2662
1,1024,512,512,CLAM,small,jacobi-2d,45465
1,1024,512,512,CLAM,small,jacobi-1d,1187
1,1024,512,512,CLAM,small,mvt,1151
1,1024,512,512,CLAM,small,heat-3d,31399
1,1024,512,512,CLAM,small,trmm,1847
1,1024,512,512,CLAM,small,covariance,308
1,1024,512,512,CLAM,small,correlation,2340
1,1024,512,512,CLAM,small,trisolv,355
1,1024,512,512,CLAM,small,ludcmp,3345
1,1024,512,512,CLAM,small,bicg,1284
1,1024,512,512,CLAM,small,lu,2518
1,1024,512,512,CLAM,small,seidel-2d,22007
1,1024,512,512,CLAM,small,gesummv,1627
1,1024,512,512,CLAM,small,floyd-warshall,324566
1,1024,512,512,CLAM,small,doitgen,587
1,1024,512,512,CLAM,medium,deriche,546068
1,1024,512,512,CLAM,medium,fdtd-2d,1798410
1,1024,512,512,CLAM,medium,syrk,290976
1,1024,512,512,CLAM,medium,nussinov,1349841
1,1024,512,512,CLAM,medium,durbin,66
1,1024,512,512,CLAM,medium,2mm,878473
1,1024,512,512,CLAM,medium,gramschmidt,345349
1,1024,512,512,CLAM,medium,3mm,1230809
1,1024,512,512,CLAM,medium,adi,1922314
1,1024,512,512,CLAM,medium,symm,553927
1,1024,512,512,CLAM,medium,syr2k,664404
1,1024,512,512,CLAM,medium,cholesky,593433
1,1024,512,512,CLAM,medium,atax,13352
1,1024,512,512,CLAM,medium,gemver,31961
1,1024,512,512,CLAM,medium,gemm,562242
1,1024,512,512,CLAM,medium,jacobi-2d,1451132
1,1024,512,512,CLAM,medium,jacobi-1d,2959
1,1024,512,512,CLAM,medium,mvt,25672
1,1024,512,512,CLAM,medium,heat-3d,1480833
1,1024,512,512,CLAM,medium,trmm,257645
1,1024,512,512,CLAM,medium,covariance,519474
1,1024,512,512,CLAM,medium,correlation,479747
1,1024,512,512,CLAM,medium,trisolv,4734
1,1024,512,512,CLAM,medium,ludcmp,1230750
1,1024,512,512,CLAM,medium,bicg,9039
1,1024,512,512,CLAM,medium,lu,1256044
1,1024,512,512,CLAM,medium,seidel-2d,1031990
1,1024,512,512,CLAM,medium,gesummv,6461
1,1024,512,512,CLAM,medium,floyd-warshall,7647792
1,1024,512,512,CLAM,medium,doitgen,5416
2,64,512,512,CLAM,small,deriche,20130
2,64,512,512,CLAM,small,fdtd-2d,29432
2,64,512,512,CLAM,small,syrk,1044
2,64,512,512,CLAM,small,nussinov,35129
2,64,512,512,CLAM,small,durbin,37
2,64,512,512,CLAM,small,2mm,1425
2,64,512,512,CLAM,small,gramschmidt,1451
2,64,512,512,CLAM,small,3mm,2729
2,64,512,512,CLAM,small,adi,32117
2,64,512,512,CLAM,small,symm,1172
2,64,512,512,CLAM,small,syr2k,1573
2,64,512,512,CLAM,small,cholesky,986
2,64,512,512,CLAM,small,atax,1229
2,64,512,512,CLAM,small,gemver,1574
2,64,512,512,CLAM,small,gemm,1127
2,64,512,512,CLAM,small,jacobi-2d,42848
2,64,512,512,CLAM,small,jacobi-1d,287
2,64,512,512,CLAM,small,mvt,963
2,64,512,512,CLAM,small,heat-3d,34066
2,64,512,512,CLAM,small,trmm,892
2,64,512,512,CLAM,small,covariance,1685
2,64,512,512,CLAM,small,correlation,1696
2,64,512,512,CLAM,small,trisolv,522
2,64,512,512,CLAM,small,ludcmp,2006
