seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
1,64,CLAM,small,durbin,172785,23,0,5,33554436,50013,15,1,33554436,2,37,0,0,0,24,23,0,8
1,64,CLAM,small,fdtd-2d,8164866,9,0,5,33554436,2031081,607561,210504,33554436,770913,47161,30649,27899,22823,0,0,19262,8
1,64,CLAM,small,floyd-warshall,88117845,4,0,5,33554436,17509793,364119,347420,33554436,393849,317694,295913,314313,234199,2,2,3381,8
1,64,CLAM,small,gemm,4104433,6,0,5,33554436,1330417,21985,541,33554436,21947,585,310,585,585,1,1,0,8
1,64,CLAM,small,gemver,537491,12,0,5,33554436,159366,14036,1320,33554436,13019,2349,1223,1618,1177,138,77,731,8
1,64,CLAM,small,gesummv,139151,4,0,5,33554436,60321,4841,3200,33554436,7427,618,62,618,618,15,1,0,8
1,64,CLAM,small,gramschmidt,4839797,10,0,5,33554436,1315642,30758,20906,33554436,50894,780,706,780,780,3,3,0,8
1,64,CLAM,small,heat-3d,13753576,11,0,5,33554436,3659681,72801,33210,33554436,59747,46275,28623,31838,29174,4,4,14437,8
1,64,CLAM,small,jacobi-1d,2171357,1841,0,5,33554436,311677,3,0,33554436,1747,97,0,0,0,3,3,0,8
1,64,CLAM,small,jacobi-2d,12453890,9,0,5,33554436,3636880,80241,39750,33554436,61498,58502,37161,38888,35689,0,0,19614,8
1,64,CLAM,small,lu,5859950,7,0,5,33554436,1664420,70600,958,33554436,69083,2482,1134,1187,745,2,2,1295,8
1,64,CLAM,small,ludcmp,5455572,12,0,5,33554436,1131076,71664,982,33554436,68829,3829,1178,1316,1044,98,98,2513,8
1,64,CLAM,small,mvt,290175,4,0,5,33554436,82307,4333,205,33554436,3233,1309,462,1018,878,36,9,291,8
1,64,CLAM,small,nussinov,16076703,15,0,5,33554436,2725419,286794,1271,33554436,249252,38828,1569,27550,24687,3,3,11278,8
1,64,CLAM,small,seidel-2d,9643209,8,0,5,33554436,2276800,36001,35447,33554436,49099,22357,21785,21904,14968,5,5,453,8
1,64,CLAM,small,symm,2386248,7,0,5,33554436,829607,39195,15814,33554436,53193,1823,1055,696,503,1,1,1127,8
1,64,CLAM,small,syr2k,3573954,6,0,5,33554436,851842,321040,10335,33554436,328370,3011,743,841,619,0,0,2170,8
1,64,CLAM,small,syrk,2397877,4,0,5,33554436,694540,89542,3067,33554436,92293,320,256,320,320,0,0,0,8
1,64,CLAM,small,trisolv,73319,4,0,5,33554436,21341,559,128,33554436,464,227,126,217,202,31,11,10,8
1,64,CLAM,small,trmm,1488447,6,0,5,33554436,326160,108241,324,33554436,108476,95,50,95,95,2,2,0,8
1,64,C-SHEL,small,2mm,3195759,11,0,5,33554436,874474,33928,577,33554436,33545,971,586,971,971,1,0,0,8
1,64,C-SHEL,small,3mm,5483944,11,0,5,33554436,1565843,62457,912,33554436,61396,1984,933,1590,1320,28,3,394,8
1,64,C-SHEL,small,adi,9657654,15,0,5,33554436,1602133,1112559,563908,33554436,1632871,43611,39893,33829,28106,146,47,9631,8
1,64,C-SHEL,small,correlation,3782371,17,0,5,33554436,557187,477620,4194,33554436,477808,4023,1325,908,661,262,185,3115,8
1,64,C-SHEL,small,covariance,3755782,11,0,5,33554436,545486,476396,4030,33554436,476487,3950,1261,892,639,59,11,3058,8
1,64,C-SHEL,small,deriche,2075033,19,0,5,33554436,141447,251789,101442,33554436,332223,21027,9552,20184,17618,19,13,843,8
1,64,C-SHEL,small,fdtd-2d,8174705,14,0,5,33554436,2038811,608161,210546,33554436,770445,48276,30125,40117,37630,47,45,8159,8
1,64,C-SHEL,small,gemver,537417,10,0,5,33554436,159366,14036,1320,33554436,13329,2037,919,1544,1432,88,31,493,8
1,64,C-SHEL,small,heat-3d,13754691,13,0,5,33554436,3659681,72801,33210,33554436,59135,46889,28852,32684,30272,88,62,14205,8
1,64,C-SHEL,small,jacobi-2d,12454770,9,0,5,33554436,3636880,80241,39750,33554436,65362,54638,35763,40723,34589,53,24,13915,8
1,64,C-SHEL,small,lu,5862837,7,0,5,33554436,1664420,70600,958,33554436,69148,2417,1137,1144,761,0,0,1273,8
1,64,C-SHEL,small,ludcmp,5458469,14,0,5,33554436,1131194,71784,1085,33554436,69005,3878,1178,1389,1060,104,95,2489,8
1,64,C-SHEL,small,mvt,290196,5,0,5,33554436,82307,4333,205,33554436,3196,1347,439,1193,1021,9,9,154,8
1,64,PRL,small,2mm,3195741,7,0,5,33554436,874474,33928,577,33554436,33419,1093,544,1093,1093,65,1,0,8
1,64,PRL,small,3mm,5483912,10,0,5,33554436,1565843,62457,912,33554436,61400,1979,986,1807,1659,0,0,172,8
1,64,PRL,small,adi,9656304,15,0,5,33554436,1601973,1112439,563907,33554436,1631441,44920,40326,32072,27328,41,2,12694,8
1,64,PRL,small,atax,304227,7,0,5,33554436,99090,1722,497,33554436,1691,535,65,535,535,10,8,0,8
1,64,PRL,small,bicg,246304,7,0,5,33554436,105766,9546,4352,33554436,13307,598,80,598,598,1,1,0,8
