../benchmarks/CLAM_medium/deriche/program,29070042,18,0,222802063,536870916,5529616,5205608,2073600,536870916,7278366,1525832,741136,220022,215513,18,8,1305810
../benchmarks/CLAM_medium/doitgen/program,74304244,10,0,230466909,536870916,21960004,7121637,415502,536870916,7537084,7539,7438,7539,7539,7,8,0
../benchmarks/CLAM_medium/durbin/program,1844838,232,0,2290099,536870916,558710,17118,5204,536870916,22554,71,0,0,0,120,8,0
../benchmarks/CLAM_medium/fdtd-2d/program,205704135,10,0,1216109347,536870916,66808602,34262001,14315115,536870916,48569992,2026175,905019,1948336,1494511,4,8,77839
../benchmarks/CLAM_medium/floyd-warshall/program,1885390094,1004,0,2626463771,536870916,383388076,18677573,7864465,536870916,26520648,7827837,7661570,7562332,7150319,3,8,265505
../benchmarks/CLAM_medium/gemm/program,127457419,6,0,191201579,536870916,42328002,1748993,459675,536870916,2208182,583214,4691,570982,556497,4,8,12232
../benchmarks/CLAM_medium/gemver/program,5935624,11,0,26288217,536870916,1922002,882413,33219,536870916,915445,35617,10278,26255,21256,82,8,9362
../benchmarks/CLAM_medium/gesummv/program,1066515,4,0,8780106,536870916,501002,260806,125813,536870916,386535,7597,127,7597,7597,503,8,0
../benchmarks/CLAM_medium/gramschmidt/program,144281284,493,0,750060926,536870916,40344000,23439874,5987553,536870916,29427117,501717,412899,303451,236434,242,8,198266
../benchmarks/CLAM_medium/heat-3d/program,322407529,600,0,1053491304,536870916,88388002,24246802,10982063,536870916,35229196,1519816,729856,1467078,1289200,3,8,52738
../benchmarks/CLAM_medium/jacobi-1d/program,27516510,859767,0,50566239,536870916,2666900,169413,79624,536870916,1108804,93,0,0,0,2,8,0
../benchmarks/CLAM_medium/jacobi-2d/program,246462719,590,0,1019528142,536870916,73804801,25382801,12300863,536870916,37683991,1506666,774766,1453535,1267464,1393,8,53131
../benchmarks/CLAM_medium/lu/program,214449597,11,0,706061702,536870916,64079400,20811352,304031,536870916,21114573,1373711,10660,1196691,1101533,7,8,177020
../benchmarks/CLAM_medium/ludcmp/program,194877964,20,0,681343104,536870916,43227800,20667334,127435,536870916,20794070,1383946,10526,1208192,1096325,939,8,175754
../benchmarks/CLAM_medium/mvt/program,3207219,6,0,8914415,536870916,960800,223778,17959,536870916,241525,20304,649,19656,19613,51,8,648
../benchmarks/CLAM_medium/nussinov/program,337120082,158762,0,876144978,536870916,63247253,21532052,282935,536870916,21972708,1584774,9273,1272899,1243289,59,8,311875
../benchmarks/CLAM_medium/seidel-2d/program,270759719,15525558,0,664112345,536870916,64078001,1000001,995025,536870916,17518823,965891,959244,961125,924375,200,8,4766
../benchmarks/CLAM_medium/symm/program,77519124,57,0,387831308,536870916,28848002,10211977,4824005,536870916,15035975,566460,282567,566460,566460,31,8,0
../benchmarks/CLAM_medium/syr2k/program,104825480,50,0,642620802,536870916,34761842,23568925,528248,536870916,24095907,769287,7232,636166,458484,31,8,133121
../benchmarks/CLAM_medium/syrk/program,70025241,4,0,212109436,536870916,23193842,5836064,528248,536870916,6363780,317955,3733,280693,278658,3,8,37262
../benchmarks/CLAM_medium/trisolv/program,804403,103,0,1271794,536870916,241000,12108,1654,536870916,13728,5191,566,337,211,6,8,4854
../benchmarks/CLAM_medium/trmm/program,48382479,6,0,256912279,536870916,14424001,9321736,128681,536870916,9450058,295478,3291,238609,161907,3,8,56869
../benchmarks/SHEL_medium/2mm/program,155021451,9,0,541752247,536870916,44231402,16599836,481926,536870916,17081076,834612,5141,811147,709972,6,8,23465
../benchmarks/SHEL_medium/3mm/program,229121818,14,0,814885512,536870916,68511900,25034719,757764,536870916,25791434,1308180,7701,1272855,1183842,4,8,35325
../benchmarks/SHEL_medium/adi/program,279224129,19,0,1747937329,536870916,78606712,48916303,23671052,536870916,72576610,2256479,1608801,1882986,1774396,309,8,373493
../benchmarks/SHEL_medium/correlation/program,84441108,22,0,441250435,536870916,23053207,15084843,327300,536870916,15410660,954614,36168,527933,195533,276,8,426681
../benchmarks/SHEL_medium/covariance/program,84246193,605,0,436910314,536870916,22956842,14837191,264662,536870916,15100675,1011100,36228,455811,135369,22,8,555289
../benchmarks/SHEL_medium/deriche/program,29070112,20,0,265926893,536870916,5529620,5205610,2073602,536870916,6594979,3362795,992152,3282919,3206179,2763098,8,79876
../benchmarks/SHEL_medium/fdtd-2d/program,205772739,16,0,1215756725,536870916,66873412,34276101,14315217,536870916,48589206,1994025,899212,1974849,1648688,110,8,19176
../benchmarks/SHEL_medium/gemver/program,5935268,11,0,26143666,536870916,1922002,882413,33219,536870916,915057,31804,10210,25038,19415,83,8,6766
../benchmarks/SHEL_medium/heat-3d/program,322399521,596,0,1050616125,536870916,87799102,24164201,10974563,536870916,35139251,1487371,729737,1480437,1370268,6,8,6934
../benchmarks/SHEL_medium/jacobi-2d/program,246464919,335,0,1018440199,536870916,73804801,25382801,12300863,536870916,37683833,1471542,772833,1461233,1403169,246,8,10309
../benchmarks/SHEL_medium/lu/program,214459205,14,0,709947933,536870916,64079400,20811352,304031,536870916,21113516,1457369,10923,1134130,1094481,412,8,323239
../benchmarks/SHEL_medium/ludcmp/program,194887584,19,0,689425545,536870916,43228598,20667745,127832,536870916,20794299,1581478,11804,1271451,1223918,131374,8,310027
../benchmarks/SHEL_medium/mvt/program,3207241,8,0,8918163,536870916,960800,223778,17959,536870916,241441,20458,736,20010,19968,53,8,448
../benchmarks/C-SHEL_medium/2mm/program,155021451,9,0,541749872,536870916,44231402,16599836,481926,536870916,17081076,834612,5141,811147,709972,6,8,23465
../benchmarks/C-SHEL_medium/3mm/program,229121818,14,0,814880259,536870916,68511900,25034719,757764,536870916,25791434,1308180,7701,1272855,1183842,4,8,35325
../benchmarks/C-SHEL_medium/adi/program,279224129,19,0,1745717931,536870916,78606712,48916303,23671052,536870916,72579584,2192427,1586583,1898399,1794880,309,8,294028
../benchmarks/C-SHEL_medium/correlation/program,84441108,22,0,441244641,536870916,23053207,15084843,327300,536870916,15410727,954445,36175,528184,195324,276,8,426261
../benchmarks/C-SHEL_medium/covariance/program,84246193,605,0,436897826,536870916,22956842,14837191,264662,536870916,15100627,1010834,36267,456009,136567,22,8,554825
../benchmarks/C-SHEL_medium/deriche/program,29070112,20,0,266284787,536870916,5529620,5205610,2073602,536870916,6595051,3374397,991569,3340358,3284025,2764328,8,34039
../benchmarks/C-SHEL_medium/fdtd-2d/program,205772739,16,0,1216542038,536870916,66873412,34276101,14315217,536870916,48587902,2016782,900460,1979149,1630571,110,8,37633
../benchmarks/C-SHEL_medium/gemver/program,5935268,11,0,26085039,536870916,1922002,882413,33219,536870916,915506,29974,10200,29973,29965,83,8,1
../benchmarks/C-SHEL_medium/heat-3d/program,322399521,596,0,1051649057,536870916,87799102,24164201,10974563,536870916,35139143,1515228,729901,1471419,1197054,6,8,43809
../benchmarks/C-SHEL_medium/jacobi-2d/program,246464919,335,0,1019842285,536870916,73804801,25382801,12300863,536870916,37683897,1509728,774479,1458553,1277031,1394,8,51175
../benchmarks/C-SHEL_medium/lu/program,214459205,14,0,706263085,536870916,64079400,20811352,304031,536870916,21113850,1356396,10550,1242372,1158855,412,8,114024
