00000000,00000000,40000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,			00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,			00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00002000,00000000,01000020,01001000,00010040,00000020,00002400,00000000,10008000,24802010,48005040,10000030,44000400,0c000001,00000040,000a77f6,			00002000,00000000,01000020,01000000,00010040,00000020,00000400,00000000,10008000,24802010,48005000,00000030,44000400,04000000,			00000040,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000003f,00000000,00000000,00000000
00000000,0000ffff,08000020,01004024,01001000,00010058,01000820,00012400,00c04000,10008010,24902010,5800d040,16000132,44802682,8e000001,00000046,fbea77f6,			0000fef7,08000020,01014024,01000000,00010058,01000820,00010400,00c04000,10008010,24902010,5800d000,06000032,44002682,86000000,			00000042,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000007f,00000000,00000000,00000000
00000000,1effffff,08000020,0101402c,0300b020,00010458,01008a20,00012400,08c04010,11008010,24922010,5800d241,16800136,44883682,8e000061,49001046,fbee77fe,			1bdffef7,08000020,0101402c,03002000,00010458,01008a20,00010400,08c04010,11008010,24902010,5800d001,06800036,44082682,86000060,			49001042,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,000000bf,00000000,00000000,00000000
00000000,bfffffff,0800003f,0101402c,0300b020,00010458,01008a20,00030400,08c04010,11068010,24922810,d820d641,17a00936,44893682,8e000069,d9001046,fbee77fe,			7bdffef7,0800003f,0101402c,03002000,00010458,01008a20,00010400,08c04010,11068010,24902810,d820d401,07a00836,44082682,86000068,			d9001042,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,000000ff,00000000,00000000,00000000
00000000,ffffffff,08000fff,0101402c,0300a020,00010458,81008a22,02430401,08c04018,11068010,24922850,d820d603,4fa40836,4c097682,86000078,d9401047,fffffffe,			7bdffef7,08000fff,0101402c,03002000,00010458,81008a20,02410401,08c04010,11068010,24902850,d820d403,4fa40836,4c082682,86000078,			d9401043,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000013f,00000000,00000000,00000000
00000000,ffffffff,0817ffff,0101402c,0308a000,00010558,81008a22,02430409,08c04018,110e8050,2c902a54,d828d603,4da40836,4c0967a2,86000078,db411043,fbfffffe,			7bfffef7,08177fff,0101402c,03082000,00010558,81008a20,02410409,08c04010,110e8050,24902a50,d828d403,4fa40836,4c0827a2,86000078,			db411043,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000017f,00000000,00000000,00000000
00000000,ffffffff,ffffffff,0101502f,0308b400,00010558,81000a62,02430409,09c04018,110e8050,2c902a54,d828f403,4fa40a36,4c0867a6,86100078,db411443,fbfffffe,			fffffef7,feff7fff,0101502f,03082400,00010558,81008a20,02410409,09c04010,110e8050,24902a50,d828f403,4fa40a36,4c0827a6,86100078,			db411443,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,000001bf,00000000,00000000,00000000
00000000,ffffffff,ffffffff,017fffff,0b08b400,00010558,81008a62,02410409,09c04010,110e8050,2c902a54,f828f423,4fe40ab7,4c0827a6,86100078,fb411443,fbfffffe,			fffffef7,ffff7fff,017d77ff,03082400,00010558,81008a20,02410409,09c04010,110e8050,24902a50,f828f423,4fe40ab7,4c0827a6,86100078,			fb411443,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,000001ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,0b08b43e,00010558,81008a60,02410409,09c04010,110e8050,ac902e54,f8a8f423,4fe50ab7,4c0827a6,86100078,fb411443,fbfffffe,			fffffeff,ffffffff,fffd77ff,0308243f,00010558,81008a20,02410409,09c04010,110e8050,a4902e50,f8a8f423,4fe50ab7,4c0827a6,86100078,			fb411443,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000023f,00000000,00000000,00000000
